lh.aparc.thickness	lh_bankssts_thickness	lh_caudalanteriorcingulate_thickness	lh_caudalmiddlefrontal_thickness	lh_cuneus_thickness	lh_entorhinal_thickness	lh_fusiform_thickness	lh_inferiorparietal_thickness	lh_inferiortemporal_thickness	lh_isthmuscingulate_thickness	lh_lateraloccipital_thickness	lh_lateralorbitofrontal_thickness	lh_lingual_thickness	lh_medialorbitofrontal_thickness	lh_middletemporal_thickness	lh_parahippocampal_thickness	lh_paracentral_thickness	lh_parsopercularis_thickness	lh_parsorbitalis_thickness	lh_parstriangularis_thickness	lh_pericalcarine_thickness	lh_postcentral_thickness	lh_posteriorcingulate_thickness	lh_precentral_thickness	lh_precuneus_thickness	lh_rostralanteriorcingulate_thickness	lh_rostralmiddlefrontal_thickness	lh_superiorfrontal_thickness	lh_superiorparietal_thickness	lh_superiortemporal_thickness	lh_supramarginal_thickness	lh_frontalpole_thickness	lh_temporalpole_thickness	lh_transversetemporal_thickness	lh_insula_thickness	lh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
sub-0001	2.451	2.804	2.655	2.09	3.817	2.764	2.493	2.768	2.474	2.289	2.761	2.273	2.76	2.945	2.801	2.327	2.785	2.683	2.531	1.861	2.09	2.823	2.582	2.486	3.071	2.322	2.702	2.218	2.756	2.659	2.856	3.336	2.741	3.442	2.56319	1235952.0	1560838.764254
sub-0002	2.112	2.885	2.441	2.015	3.036	2.645	2.499	2.534	2.778	2.111	2.612	2.053	2.996	2.575	2.506	2.55	2.319	2.414	2.399	1.665	2.137	2.456	2.462	2.528	2.872	2.312	2.801	2.071	2.734	2.589	2.727	3.043	2.63	3.07	2.45906	1056970.0	1115228.151399
sub-0003	2.649	3.252	2.4	2.006	3.487	2.76	2.496	2.701	2.848	2.051	2.791	2.096	2.492	2.808	2.856	2.391	2.563	2.846	2.834	1.535	2.064	2.696	2.582	2.434	2.97	2.397	2.789	2.167	2.783	2.674	2.855	3.738	2.517	3.064	2.53882	945765.0	1186697.257955
sub-0004	2.616	2.81	2.602	1.86	3.436	2.781	2.601	2.664	2.387	2.128	2.953	1.946	2.805	2.746	2.734	2.519	2.68	2.765	2.707	1.572	1.935	2.875	2.592	2.449	3.208	2.212	2.691	2.22	2.748	2.602	2.899	3.545	2.659	2.93	2.51095	973916.0	952776.991909
sub-0005	2.765	3.663	2.556	1.872	3.955	2.714	2.51	2.724	2.556	2.042	2.896	2.18	2.968	3.067	2.457	2.252	2.655	2.699	2.47	1.504	1.873	2.59	2.71	2.409	3.435	2.397	2.836	2.091	2.885	2.658	2.587	3.782	2.648	3.324	2.53809	1089881.0	1497742.976131
sub-0006	2.165	2.639	2.508	1.964	2.68	2.442	2.349	2.538	2.434	2.02	2.684	2.178	2.62	2.718	2.897	2.484	2.659	2.592	2.466	1.698	1.958	2.515	2.474	2.39	3.203	2.257	2.731	2.138	2.481	2.453	2.329	3.844	2.572	3.327	2.41613	1281422.0	1441004.6407
sub-0007	2.466	2.771	2.539	1.863	3.099	2.567	2.405	2.629	2.459	2.018	2.867	2.131	2.945	2.677	2.875	2.53	2.656	2.545	2.319	1.713	2.06	2.978	2.534	2.252	3.139	2.304	3.024	2.062	2.438	2.435	2.932	2.667	2.755	3.307	2.45346	916439.0	927712.749474
sub-0008	2.484	3.085	2.61	1.978	3.332	2.876	2.433	2.838	2.63	2.339	2.887	2.188	2.886	2.796	2.863	2.303	2.624	2.661	2.464	1.59	2.107	2.917	2.568	2.395	3.158	2.329	2.644	2.084	3.007	2.516	2.274	3.455	2.808	3.281	2.53818	1254394.0	1604284.294118
sub-0009	2.976	2.903	2.24	2.011	3.674	2.778	2.31	2.576	2.539	2.016	2.489	2.227	2.551	2.668	2.743	2.389	2.419	2.383	2.275	1.642	1.933	2.435	2.544	2.404	3.201	2.138	2.583	1.933	2.718	2.573	2.462	3.287	2.535	3.28	2.41556	919357.0	924942.844516
sub-0010	2.407	3.002	2.458	1.912	3.541	2.772	2.425	2.76	2.579	2.343	2.85	2.125	2.795	2.84	3.176	2.347	2.578	2.841	2.464	1.568	2.052	2.681	2.502	2.371	3.276	2.37	2.635	2.111	2.781	2.523	2.562	3.628	2.582	3.336	2.50988	1115137.0	1332963.907826
