rh.aparc.thickness	rh_bankssts_thickness	rh_caudalanteriorcingulate_thickness	rh_caudalmiddlefrontal_thickness	rh_cuneus_thickness	rh_entorhinal_thickness	rh_fusiform_thickness	rh_inferiorparietal_thickness	rh_inferiortemporal_thickness	rh_isthmuscingulate_thickness	rh_lateraloccipital_thickness	rh_lateralorbitofrontal_thickness	rh_lingual_thickness	rh_medialorbitofrontal_thickness	rh_middletemporal_thickness	rh_parahippocampal_thickness	rh_paracentral_thickness	rh_parsopercularis_thickness	rh_parsorbitalis_thickness	rh_parstriangularis_thickness	rh_pericalcarine_thickness	rh_postcentral_thickness	rh_posteriorcingulate_thickness	rh_precentral_thickness	rh_precuneus_thickness	rh_rostralanteriorcingulate_thickness	rh_rostralmiddlefrontal_thickness	rh_superiorfrontal_thickness	rh_superiorparietal_thickness	rh_superiortemporal_thickness	rh_supramarginal_thickness	rh_frontalpole_thickness	rh_temporalpole_thickness	rh_transversetemporal_thickness	rh_insula_thickness	rh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
sub-0001	2.435	2.711	2.513	2.062	3.341	2.626	2.441	2.591	2.496	2.227	2.622	2.23	2.852	2.859	2.661	2.492	2.645	2.764	2.415	1.901	2.0	2.924	2.498	2.437	3.166	2.343	2.818	2.06	2.789	2.594	2.439	3.972	2.489	3.454	2.51401	1235952.0	1560838.764254
sub-0002	2.367	2.771	2.451	1.931	2.902	2.658	2.305	2.439	2.698	2.213	2.786	2.141	2.962	2.637	2.738	2.691	2.576	2.424	2.485	1.707	1.954	2.609	2.467	2.582	3.302	2.404	2.935	2.074	2.739	2.447	2.621	3.508	2.676	3.196	2.48084	1056970.0	1115228.151399
sub-0003	2.697	3.308	2.509	1.906	3.609	2.783	2.407	2.745	2.853	2.088	2.818	2.171	2.641	2.862	2.86	2.499	2.574	3.095	2.432	1.723	1.939	2.839	2.566	2.439	3.097	2.399	2.918	2.166	2.794	2.679	2.711	3.779	2.571	3.253	2.55543	945765.0	1186697.257955
sub-0004	2.61	3.55	2.303	2.066	3.523	2.667	2.476	2.804	2.465	2.25	2.953	2.065	3.325	2.905	2.242	2.484	2.515	2.819	2.619	1.605	1.896	3.011	2.586	2.523	3.869	2.292	2.826	2.224	2.804	2.609	2.733	3.585	2.471	3.303	2.54895	973916.0	952776.991909
sub-0005	2.633	2.475	2.389	1.824	3.753	2.555	2.408	2.732	2.439	2.145	2.759	2.087	2.685	2.915	2.537	2.297	2.874	2.711	2.436	1.461	1.911	2.615	2.522	2.409	3.191	2.41	2.827	2.104	2.688	2.512	2.481	3.766	2.356	3.119	2.47069	1089881.0	1497742.976131
sub-0006	2.568	3.087	2.541	1.978	3.141	2.584	2.377	2.501	2.414	2.125	2.758	2.079	2.781	2.767	3.016	2.52	2.656	2.586	2.617	1.694	1.978	2.501	2.406	2.474	3.334	2.413	2.95	2.106	2.72	2.466	2.715	3.982	2.299	3.341	2.4792	1281422.0	1441004.6407
sub-0007	2.468	3.457	2.618	2.055	3.297	2.547	2.276	2.467	2.4	1.998	3.008	2.109	3.05	2.4	2.621	2.558	2.7	2.6	2.426	1.678	2.059	2.953	2.49	2.52	3.268	2.607	3.109	2.172	2.666	2.621	2.945	2.961	2.379	3.303	2.51098	916439.0	927712.749474
sub-0008	2.383	3.002	2.5	2.039	3.515	2.746	2.47	2.783	2.43	2.298	2.773	2.161	2.855	2.671	2.837	2.333	2.494	2.399	2.437	1.662	1.97	2.773	2.597	2.442	3.233	2.335	2.762	2.065	2.812	2.407	3.087	3.95	2.685	3.31	2.50671	1254394.0	1604284.294118
sub-0009	2.762	2.586	2.345	1.748	3.39	2.522	2.335	2.609	2.616	2.079	2.704	2.093	2.692	2.717	2.547	2.314	2.4	2.771	2.263	1.586	1.922	2.508	2.439	2.276	2.943	2.229	2.742	1.915	2.695	2.479	2.646	3.634	2.283	3.315	2.40367	919357.0	924942.844516
sub-0010	2.52	2.93	2.515	1.927	3.482	2.715	2.388	2.836	2.484	2.2	2.877	2.186	2.983	2.942	3.077	2.373	2.649	2.882	2.395	1.574	1.921	2.574	2.471	2.477	3.376	2.412	2.756	2.146	2.74	2.528	2.896	3.594	2.452	3.321	2.51481	1115137.0	1332963.907826
sub-0011	2.465	2.956	2.475	1.992	3.397	2.662	2.425	2.617	2.558	2.168	2.891	2.21	2.975	2.745	2.422	2.663	2.601	2.748	2.427	1.712	2.102	2.77	2.544	2.328	3.435	2.505	2.872	2.046	2.668	2.53	3.328	3.833	2.765	3.557	2.51363	916414.0	1050308.739903
sub-0012	2.592	2.656	2.5	2.008	3.084	2.816	2.521	2.758	2.474	2.337	2.817	2.211	2.789	2.832	3.054	2.556	2.953	2.743	2.275	1.669	2.003	2.587	2.68	2.416	3.387	2.428	2.886	2.197	2.735	2.455	2.94	3.564	2.646	3.262	2.54404	1093680.0	1174483.265912
sub-0013	2.819	2.714	2.755	2.237	3.529	2.689	2.457	2.66	2.205	2.114	2.868	2.171	3.049	2.913	3.012	2.628	2.675	2.738	2.727	1.554	2.045	2.516	2.655	2.591	3.055	2.564	3.052	2.346	3.009	2.665	2.95	3.334	2.406	3.51	2.61669	1245924.0	1575330.67754
sub-0014	2.542	2.701	2.485	2.098	3.517	2.812	2.533	2.818	2.572	2.303	2.924	2.43	3.043	2.747	3.379	2.585	2.794	2.694	2.563	1.743	2.037	2.616	2.472	2.483	3.332	2.494	2.858	2.208	3.002	2.56	2.943	4.044	2.758	3.114	2.59245	1087763.0	1206059.232953
sub-0015	2.718	2.78	2.533	1.949	3.147	2.732	2.477	2.721	2.565	2.371	2.825	2.194	2.68	2.775	3.168	2.463	2.51	2.276	2.492	1.86	2.037	2.509	2.523	2.431	3.13	2.278	2.913	2.136	2.881	2.466	2.837	3.825	2.663	3.078	2.52051	1157625.0	1400508.836146
sub-0016	2.503	3.158	2.627	2.101	4.03	2.986	2.474	2.972	2.935	2.307	2.978	2.251	3.082	2.786	2.793	2.718	2.569	2.781	2.665	1.892	2.094	2.763	2.542	2.563	3.526	2.492	2.947	2.231	2.909	2.557	2.644	3.875	2.745	3.335	2.62395	1078694.0	1226969.408346
sub-0017	2.418	2.944	2.58	2.123	3.578	2.845	2.503	2.763	2.807	2.177	2.711	2.174	2.982	2.864	2.777	2.624	2.68	2.489	2.572	1.694	2.098	2.686	2.689	2.392	3.201	2.372	2.885	2.064	2.716	2.682	2.91	4.283	2.606	3.151	2.54828	975124.0	1223580.126877
sub-0018	2.338	3.171	2.371	1.857	3.611	2.79	2.279	2.779	2.407	2.095	2.821	2.147	2.714	2.551	3.285	2.225	2.537	2.612	2.43	1.591	1.884	2.963	2.43	2.325	3.301	2.296	2.708	2.043	2.661	2.419	2.744	3.714	2.286	3.227	2.43053	1205241.0	1420234.794428
sub-0019	2.573	2.985	2.378	1.799	3.937	2.619	2.422	2.755	2.671	2.114	2.715	1.997	2.814	2.895	2.602	2.385	2.559	2.551	2.415	1.663	2.0	2.643	2.549	2.26	3.27	2.235	2.818	1.997	2.819	2.458	2.942	3.636	2.626	3.281	2.46883	971395.0	962037.916402
sub-0020	2.64	2.538	2.474	2.071	3.67	2.749	2.352	2.699	2.775	2.252	2.663	2.088	2.769	2.797	2.912	2.636	2.41	2.543	2.262	1.704	2.025	2.743	2.587	2.462	3.131	2.243	2.687	2.185	2.908	2.492	2.519	3.489	2.899	3.251	2.50468	1141418.0	1241908.211028
sub-0021	2.696	2.757	2.597	1.909	3.578	2.654	2.536	2.682	2.412	2.239	2.871	2.311	2.785	2.857	2.801	2.471	2.757	2.638	2.383	1.565	2.033	2.579	2.624	2.501	3.191	2.391	2.782	2.102	2.727	2.6	3.111	4.322	2.741	3.185	2.53702	1211298.0	1268981.067234
sub-0022	2.497	2.62	2.39	2.056	3.543	2.884	2.416	2.655	2.668	2.354	2.925	2.286	3.121	2.849	3.132	2.402	2.528	2.771	2.55	1.885	2.043	2.543	2.522	2.604	3.2	2.366	2.83	2.141	3.007	2.722	2.653	4.083	2.792	3.373	2.57754	1116051.0	1189521.862383
sub-0023	2.573	3.037	2.949	2.118	3.686	2.748	2.576	2.856	2.664	2.309	2.824	2.358	2.88	2.794	2.901	2.61	2.849	2.701	2.666	1.76	2.145	2.786	2.858	2.617	3.543	2.578	3.068	2.304	2.841	2.77	2.888	3.834	2.719	3.575	2.68569	1424017.0	1678356.032306
sub-0024	2.762	3.226	2.581	2.063	3.906	2.823	2.689	2.864	2.752	2.253	2.932	2.29	3.118	2.935	2.969	2.52	2.715	2.863	2.644	1.679	2.071	2.899	2.517	2.506	3.28	2.445	2.98	2.223	2.982	2.681	2.862	3.673	2.609	3.666	2.63881	1166575.0	1298269.115385
sub-0025	2.672	3.096	2.518	1.956	3.848	2.845	2.567	2.73	2.574	2.403	3.083	2.425	3.291	2.809	3.069	2.566	2.934	2.911	2.724	1.611	2.147	2.935	2.661	2.549	3.425	2.499	3.04	2.159	2.883	2.703	2.789	3.91	2.456	3.371	2.65352	1210527.0	1394087.467248
sub-0026	2.61	3.122	2.582	2.127	3.455	2.527	2.395	2.631	2.879	2.103	2.76	2.111	2.956	2.453	3.016	2.31	2.574	2.819	2.606	1.69	1.944	2.855	2.452	2.35	3.172	2.366	2.761	2.028	2.668	2.356	2.687	3.406	2.374	3.179	2.45281	967664.0	1027587.946123
sub-0027	2.513	3.177	2.593	1.902	4.142	2.745	2.545	2.734	2.495	2.253	2.95	2.24	2.965	2.851	2.711	2.603	2.486	2.686	2.416	1.646	1.934	2.889	2.673	2.4	3.3	2.381	2.999	2.11	2.84	2.442	3.271	3.825	2.771	3.316	2.56292	1108001.0	1476204.172769
sub-0028	2.494	2.853	2.719	1.893	3.257	2.645	2.459	2.605	2.708	2.243	2.636	2.017	2.731	2.499	2.568	2.394	2.59	2.704	2.493	1.777	1.995	2.518	2.569	2.423	2.894	2.347	2.781	2.165	2.687	2.562	2.463	3.921	2.818	3.152	2.50066	1186626.0	1366729.649065
sub-0029	2.601	2.582	2.669	1.915	3.394	2.513	2.478	2.262	2.835	2.262	2.916	2.164	2.78	2.527	2.449	2.515	2.613	2.763	2.415	1.6	1.959	2.73	2.686	2.485	2.977	2.304	2.847	2.239	2.773	2.477	2.616	3.601	2.428	3.196	2.49351	1300269.0	1581114.586967
sub-0030	2.515	3.718	2.608	2.174	4.058	2.79	2.444	2.671	2.653	2.282	2.703	2.29	2.695	2.77	2.676	2.503	3.004	2.581	2.54	1.8	1.946	2.878	2.662	2.514	3.248	2.256	3.009	2.127	2.901	2.654	2.938	4.363	2.644	3.361	2.58094	1236943.0	1492150.190437
sub-0031	3.002	2.877	2.775	2.287	3.299	2.793	2.748	2.854	2.884	2.396	2.976	2.291	2.939	3.194	3.161	2.522	2.891	3.069	2.55	1.826	1.973	2.705	2.676	2.586	3.416	2.562	3.004	2.105	2.863	2.708	3.019	4.302	2.627	3.241	2.67348	1306451.0	1450269.997242
sub-0032	2.491	2.443	2.43	2.137	2.992	2.655	2.453	2.662	2.814	2.28	2.793	2.377	2.797	2.663	2.774	2.581	2.566	2.284	2.319	1.802	1.919	2.621	2.61	2.422	3.007	2.383	2.846	2.086	2.83	2.424	2.482	3.548	2.718	3.263	2.49903	1096925.0	1246161.583717
sub-0033	2.883	3.117	2.834	2.206	3.395	2.625	2.626	2.904	2.777	2.254	2.766	2.367	3.05	2.963	2.52	2.733	2.961	2.796	2.939	1.669	2.218	2.586	2.728	2.791	3.197	2.601	3.115	2.345	2.922	2.631	3.261	3.582	2.849	3.219	2.68912	1114250.0	1282027.556818
sub-0034	2.746	2.612	2.495	2.163	3.762	2.835	2.477	2.759	2.523	2.248	2.834	2.444	2.821	2.89	3.309	2.44	2.446	2.486	2.21	1.663	1.938	2.379	2.519	2.445	3.305	2.378	2.787	2.211	2.813	2.485	2.909	3.863	2.66	3.339	2.53456	1190883.0	1281517.339249
sub-0035	2.446	3.222	2.673	1.853	3.567	2.506	2.432	2.554	2.376	1.983	2.63	1.787	2.703	2.667	2.408	2.506	2.746	2.782	2.427	1.755	2.002	2.864	2.586	2.402	3.082	2.422	2.886	2.219	2.694	2.55	2.429	4.039	2.401	3.142	2.49314	1093359.0	1487893.384555
sub-0036	2.425	3.025	2.531	1.938	3.581	2.677	2.378	2.481	2.881	2.151	2.73	2.066	3.275	2.68	2.486	2.422	2.703	2.819	2.471	1.591	2.02	2.86	2.506	2.618	3.214	2.71	2.877	2.116	2.716	2.432	3.071	3.363	2.43	3.211	2.52088	1042832.0	1170094.984101
sub-0037	2.618	3.103	2.71	1.895	3.467	2.763	2.466	2.758	2.826	2.123	2.824	2.069	2.866	2.859	2.352	2.706	2.66	2.424	2.504	1.596	2.168	2.837	2.732	2.584	3.066	2.486	2.961	2.162	2.874	2.532	3.054	3.273	2.725	3.407	2.58609	1077984.0	1313579.750429
sub-0038	2.521	2.904	2.464	2.017	4.052	2.808	2.353	2.629	2.631	2.295	2.776	2.239	2.659	2.594	2.897	2.547	2.545	2.552	2.355	1.741	2.133	2.614	2.535	2.506	3.301	2.293	2.736	2.038	2.721	2.454	2.877	3.467	2.946	3.269	2.50615	1065041.0	1155574.165384
sub-0039	2.491	2.616	2.331	1.956	3.279	2.698	2.357	2.646	2.821	2.267	2.733	2.193	3.269	2.789	3.012	2.531	2.373	2.535	2.189	1.801	1.906	2.712	2.463	2.422	3.707	2.382	2.805	1.978	2.644	2.528	2.604	3.357	2.747	3.308	2.46665	1042272.0	1216281.240076
sub-0040	2.532	2.668	2.554	1.969	3.33	2.754	2.49	2.558	2.767	2.225	2.823	2.229	2.935	2.767	2.565	2.602	2.689	2.831	2.444	1.757	2.045	2.794	2.718	2.566	3.144	2.339	2.926	2.123	2.781	2.562	3.073	3.624	2.812	3.222	2.54253	1159406.0	1299590.7541
sub-0041	2.533	2.852	2.612	2.153	3.665	2.731	2.679	2.67	2.503	2.41	2.96	2.334	2.698	2.796	3.354	2.624	2.697	2.738	2.573	1.733	2.177	2.639	2.653	2.581	3.233	2.337	2.825	2.249	3.228	2.827	2.706	3.419	3.073	3.293	2.63698	1403826.0	1809842.58152
sub-0042	2.551	2.805	2.599	1.821	3.291	2.615	2.41	2.75	2.428	2.139	2.696	2.152	2.76	2.835	2.687	2.405	2.83	2.678	2.463	1.46	1.939	2.733	2.58	2.395	3.05	2.436	2.938	2.025	2.782	2.582	2.526	3.735	2.549	3.096	2.49271	1153841.0	1233708.303119
sub-0043	2.405	2.951	2.524	1.946	3.817	2.647	2.371	2.789	2.62	2.161	2.588	1.948	2.718	2.783	2.743	2.375	2.542	2.646	2.383	1.761	1.887	2.624	2.572	2.391	3.194	2.316	2.817	2.125	2.882	2.449	2.645	3.038	2.904	3.358	2.46441	1148252.0	1488278.352641
sub-0044	2.939	2.854	2.5	2.003	3.643	2.769	2.621	3.051	2.951	2.171	2.879	2.249	3.048	3.064	2.723	2.396	2.671	2.781	2.654	1.552	2.173	2.845	2.755	2.449	3.754	2.406	2.912	2.384	3.195	2.822	2.866	4.192	2.796	3.265	2.66754	1098496.0	1358076.168294
sub-0045	2.679	2.632	2.423	1.947	3.386	2.527	2.288	2.712	2.729	2.203	2.609	2.123	2.472	2.734	2.367	2.33	2.79	2.703	2.219	1.527	2.01	2.565	2.443	2.423	3.137	2.379	2.703	2.08	2.752	2.502	2.755	3.621	2.352	2.756	2.41964	1117416.0	1210231.412956
sub-0046	2.799	3.065	2.478	1.787	3.337	2.624	2.344	2.636	2.588	2.041	2.835	2.118	3.007	2.884	3.134	2.445	2.916	2.761	2.544	1.539	2.109	2.741	2.564	2.419	3.514	2.388	2.859	2.047	2.886	2.591	2.903	3.61	2.731	3.275	2.51844	1305197.0	1606098.295409
sub-0047	2.858	2.769	2.705	2.028	3.071	2.803	2.663	3.004	2.449	2.448	2.987	2.324	2.94	2.926	3.036	2.607	2.891	2.984	2.998	1.872	2.296	2.588	2.686	2.545	3.381	2.473	2.954	2.284	3.105	2.617	3.336	3.762	2.735	3.428	2.6954	1315037.0	1620396.617557
sub-0048	2.496	2.923	2.484	1.934	3.539	2.807	2.446	2.926	3.061	2.238	2.919	2.153	2.998	2.912	3.042	2.514	2.75	2.947	2.566	1.735	2.096	2.943	2.68	2.495	3.664	2.545	3.191	2.174	3.088	2.49	2.472	3.598	3.039	3.278	2.62032	1136284.0	1301696.092796
sub-0049	2.561	2.945	2.53	1.852	3.52	2.555	2.447	2.586	2.273	2.079	2.659	2.119	2.718	2.815	2.383	2.141	2.743	2.778	2.504	1.848	2.116	2.439	2.597	2.164	3.234	2.432	2.896	2.053	2.906	2.65	2.501	3.869	2.877	3.27	2.48297	1070706.0	1184629.23971
